Metric,Performance,Video Title,Metric Value,Views,Performance Score,Study This
Click-Through Rate (CTR),EXCELLENT,Learn python for SMARS robot - GIT & SOURCE CODE CONTROL,20.1,2552.0,0.1231087103940806,Yes - replicate success factors
Click-Through Rate (CTR),EXCELLENT,Raspberry Pi 4 & VS Code,9.49,32192.0,0.1866875853476657,Yes - replicate success factors
Click-Through Rate (CTR),EXCELLENT,Hewenden Viaduct,9.49,239.0,0.05799954873488648,Yes - replicate success factors
Click-Through Rate (CTR),NEEDS WORK,Building the worlds most advanced Christmas Tree Bauble - Part 3,0.2,277.0,0.006290367178064831,Yes - identify what to avoid
Click-Through Rate (CTR),NEEDS WORK,Building the worlds most advanced Christmas Tree Bauble - Part 4,0.39,427.0,0.0017845148092153695,Yes - identify what to avoid
Click-Through Rate (CTR),NEEDS WORK,Building the worlds most advanced Christmas Tree Bauble - Part 2,0.47,468.0,0.01651569281388135,Yes - identify what to avoid
Average View Duration,EXCELLENT,Mailbox and Hangout 10 Nov 2024,22.995690744920996,886.0,0.02282518270058881,Yes - replicate success factors
Average View Duration,EXCELLENT,2024 Wrap & PCBWay Gift Unboxing,19.02577618364419,697.0,0.021105204998964282,Yes - replicate success factors
Average View Duration,EXCELLENT,Raspberry Pi Pico GamePad - making your own Bluetooth Remote,15.85020592636935,3341.0,0.053177412647455846,Yes - replicate success factors
Average View Duration,NEEDS WORK,Meet Thinkman - the Raspberry Pi powered offline portable AI. #raspberrypi #ollama #ai,0.1604748475609756,2624.0,0.020298471339633466,Yes - identify what to avoid
Average View Duration,NEEDS WORK,"Ultrasonic scanner, ready when you are!",0.17430957401940111,7113.0,0.034474478974883566,Yes - identify what to avoid
Average View Duration,NEEDS WORK,"So many things to review - the Smart CuteBot, Arducam TOF, Pimoroni Pico System, Maker & Seeed stuff",0.17462462006079027,1316.0,0.015183908004587188,Yes - identify what to avoid
Subscriber Conversion,EXCELLENT,Getting Started with Robotics an Introduction and overview,3.6085626911314983,1635.0,0.07591936048963659,Yes - replicate success factors
Subscriber Conversion,EXCELLENT,How good are Weather Station Sensors?,2.4817136886102404,3828.0,0.07923411322262884,Yes - replicate success factors
Subscriber Conversion,EXCELLENT,Learn MicroPython - Part 1 Controlling the flow,2.4584103512014788,27050.0,0.2263675324548656,Yes - replicate success factors
Subscriber Conversion,NEEDS WORK,Building the worlds most advanced Christmas Tree Bauble - Part 4,-0.468384074941452,427.0,0.0017845148092153695,Yes - identify what to avoid
Subscriber Conversion,NEEDS WORK,"Arduino Alvik Maze Escape, with Micropython and ROS2",-0.18181818181818182,550.0,0.06379867027841127,Yes - identify what to avoid
Subscriber Conversion,NEEDS WORK,Ask me Anything Livestream hangout,-0.1524390243902439,656.0,0.014090108781688227,Yes - identify what to avoid
Views Per Day,EXCELLENT,Arduino Uno Q - hands on,583.0487804878048,23905.0,0.30923275243350706,Yes - replicate success factors
Views Per Day,EXCELLENT,"Arduino Alvik Maze Escape, with Micropython and ROS2",275.0,550.0,0.06379867027841127,Yes - replicate success factors
Views Per Day,EXCELLENT,Is the new Raspberry Pi AI Kit better than Google Coral?,266.6904315196998,142146.0,0.5919601375303284,Yes - replicate success factors
Views Per Day,NEEDS WORK,Hewenden Viaduct,0.07906053589149852,239.0,0.05799954873488648,Yes - identify what to avoid
Views Per Day,NEEDS WORK,MacBook Pro M1 unboxing,0.1017042330951072,185.0,0.02943293331224576,Yes - identify what to avoid
Views Per Day,NEEDS WORK,1000 Subscribers video - #Makeitcount,0.18084473527662107,304.0,0.03433896607760893,Yes - identify what to avoid
