Source URL,Broken Link,Status,Line Number
http://www.kevsrobots.com/blog/clusteredpi,http://www.kevsrobots.com/blog/clusteredpi,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/reviews/pironman5.html,http://www.kevsrobots.com/reviews/pironman5.html,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/reviews/nvme-base.html,http://www.kevsrobots.com/reviews/nvme-base.html,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/reviews/xgo.html,http://www.kevsrobots.com/reviews/xgo.html,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/reviews/wukong-2040.html,http://www.kevsrobots.com/reviews/wukong-2040.html,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/reviews/cutebot.html,http://www.kevsrobots.com/reviews/cutebot.html,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/resources/glossary#rtk,http://www.kevsrobots.com/resources/glossary#rtk,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/reviews,http://www.kevsrobots.com/reviews,"HTTPConnectionPool(host='kevsrobots', port=3333): Max retries exceeded with url: /reviews/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1223918d0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",N/A
http://www.kevsrobots.com/blog/duckface.html,http://www.kevsrobots.com/blog/duckface.html,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/blog/build-your-own-ai-series.html,http://www.kevsrobots.com/blog/build-your-own-ai-series.html,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#Power,http://www.kevsrobots.com/tags#Power,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#Robotic Arm,http://www.kevsrobots.com/tags#Robotic Arm,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#Robots,http://www.kevsrobots.com/tags#Robots,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#Streamdeck,http://www.kevsrobots.com/tags#Streamdeck,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#Three Laws of Robotics,http://www.kevsrobots.com/tags#Three Laws of Robotics,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#Time Machine,http://www.kevsrobots.com/tags#Time Machine,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#Tiny Robot,http://www.kevsrobots.com/tags#Tiny Robot,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#Tutorial,http://www.kevsrobots.com/tags#Tutorial,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#Tweepy,http://www.kevsrobots.com/tags#Tweepy,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#Twitter,http://www.kevsrobots.com/tags#Twitter,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#Web server,http://www.kevsrobots.com/tags#Web server,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#XEyes,http://www.kevsrobots.com/tags#XEyes,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#arm,http://www.kevsrobots.com/tags#arm,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#battery,http://www.kevsrobots.com/tags#battery,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#beginners,http://www.kevsrobots.com/tags#beginners,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
http://www.kevsrobots.com/tags#bugs,http://www.kevsrobots.com/tags#bugs,"HTTPConnectionPool(host='www.kevsrobots.com', port=80): Read timed out. (read timeout=5)",N/A
