Video title,Views,Watch time (hours),Subscribers,Estimated revenue (GBP),performance_score,cluster,cluster_name,keyword_string
Build Your Own AI Assistant Part 1 - Creating the Assistant,122706.0,8443.1417,2794.0,425.883,0.7841582957987685,4,🌟 Star Performers (High Engagement),"build, assistant, part, assistant"
"Node-Red Automation, MQTT, NodeMCU & MicroPython",54610.0,7699.5005,919.0,195.374,0.4463739041113342,2,✅ Solid Performers,"node, red, automation, mqtt, nodemcu, micropython"
Build your own web server using a Raspberry Pi Pico W using Phew!,50652.0,7095.1844,722.0,237.04,0.4277868851467195,2,✅ Solid Performers,"build, web, server, raspberry, pico, phew"
Creating a Supercomputer with a Raspberry Pi 5 Cluster and Docker Swarm!,63065.0,6571.4059,823.0,228.882,0.4611058386935518,2,✅ Solid Performers,"supercomputer, raspberry, cluster, docker, swarm"
How to Design PCBs with Fusion 360 in less than 1 hour,34504.0,5882.6747,399.0,220.562,0.345816436353291,2,✅ Solid Performers,"design, pcbs, fusion, less, hour"
Control Arduino with  Python using Firmata / PyFirmata,89539.0,5443.2818,1113.0,217.496,0.4838298673893841,2,✅ Solid Performers,"control, arduino, python, firmata, pyfirmata"
Raspberry Pi 5 Mastery: Create a Powerful Home Server/Home lab,42402.0,4356.0684,629.0,160.285,0.32790931228417286,2,✅ Solid Performers,"raspberry, mastery, powerful, home, server, home, lab"
"Raspberry Pi 5 Projects, you have to make",54918.0,4231.5275,602.0,187.339,0.36248718869329033,2,✅ Solid Performers,"raspberry, projects"
Is the new Raspberry Pi AI Kit better than Google Coral?,142146.0,4198.0896,1040.0,268.427,0.5919601375303284,2,✅ Solid Performers,"raspberry, kit, better, google, coral"
"Micropython Threads - Use Both Cores, on Raspberry Pi Pico and ESP32",26792.0,3798.7758,451.0,90.848,0.23740844387383583,0,🔄 Growing Videos,"micropython, threads, both, cores, raspberry, pico"
"How to Map with LiDAR - using a Raspberry Pi Zero 2W, RPLidar and Rviz",68445.0,3671.1313,881.0,170.795,0.3749843805989331,2,✅ Solid Performers,"map, lidar, raspberry, zero, rplidar, rviz"
Private AI Revolution: Setting Up Ollama with WebUI on Raspberry Pi 5!,39370.0,3382.7911,944.0,103.244,0.3031898663226515,2,✅ Solid Performers,"private, revolution, ollama, webui, raspberry"
How to make a Bluetooth remote using a Raspberry Pi Pico W and MicroPython,29849.0,2833.1498,409.0,119.464,0.22873524278157345,0,🔄 Growing Videos,"bluetooth, remote, raspberry, pico, micropython"
LEARNING PYTHON - INTRODUCTION - for Raspberry Pi Python Robots,40887.0,2826.4309,732.0,102.807,0.29180419110507655,2,✅ Solid Performers,"python, raspberry, python, robots"
Ultimate Pi Storage: Setting Up a Raspberry Pi 5 NAS with Pimoroni NVMe Base,25695.0,2722.096,294.0,81.769,0.19989652410776854,0,🔄 Growing Videos,"storage, raspberry, nas, pimoroni, nvme, base"
Eben Upton on the new Raspberry Pi 5,13218.0,2581.9053,122.0,53.283,0.1400465425420006,0,🔄 Growing Videos,"eben, upton, raspberry"
10 Raspberry Pi Pico project ideas to get you started,27983.0,2580.1394,277.0,118.888,0.22424411664427418,0,🔄 Growing Videos,"raspberry, pico, project, ideas"
Arduino Uno Q - hands on,23905.0,2557.6639,365.0,90.003,0.30923275243350706,2,✅ Solid Performers,"arduino, uno, hands"
